Time    RS0	RS1	
0	100 100		
0,1	100	100		
0,2	100	100		
0,3	100	100		
0,4	100	100		
0,5	100	100		
0,6	100	100		
0,7	100	100		
0,8	100	100		
0,9	100	100		
1	100	100		
Unexpected device:L
1,1	100	100		
1,2	100	100		
1,3	100	100		
1,4	100	100		
1,5	100	100		
1,6	100	100		
1,7	100	100		
1,8	100	100		
1,9	100	100		
2	100	100		
2,1	100	100		
2,2	100	100		
2,3	100	100		
2,4	100	100		
2,5	100	100		
2,6	100	100		
2,7	100	100		
2,8	100	100		
2,9	100	100		
3	0	0		
3,1	0	0		
3,2	0	0		
3,3	0	0		
3,4	0	0		
3,5	0	0		
3,6	0	0		
3,7	0	0		
3,8	0	0		
3,9	0	0		
4	0	0		
4,1	0	0		
4,2	0	0		
4,3	0	0		
4,4	0	0		
4,5	0	0		
4,6	0	0		
4,7	0	0		
4,8	0	0		
4,9	0	0		
5	0	0		
5,1	0	0		
5,2	0	0		
5,3	0	0		
5,4	0	0		
5,5	0	0		
5,6	0	0		
5,7	0	0		
5,8	0	0		
5,9	0	0		
6	0	0		
6,1	0	0		
6,2	0	0		
6,3	0	0		
6,4	0	0		
6,5	0	0		
6,6	0	0		
6,7	0	0		
6,8	0	0		
6,9	0	0		
7	0	0		
Unexpected device:L
7,1	0	0		
7,2	0	0		
7,3	0	0		
7,4	0	0		
7,5	0	0		
7,6	0	0		
7,7	0	0		
7,8	0	0		
7,9	0	0		
8	0	0		
Unexpected device:L
8.099999999999987	0	0		
